"n","k_babylon","k_binet","k_egypt","k_sqrtrat","log10_error"
2,1,4,3,7,"-5.2213203261797599029528289635138628390245317740041357722830330120624955657281056745988695642013"
2,2,8,7,15,"-11.3457319438191851503579740880905921962309007989445100684052776990167330920482782010627285"
2,3,16,15,31,"-23.594553874631293426800352587948762289965107037931432564359889055231969084784"
2,4,32,31,63,"-48.092197736254530439241922412403303414251893550118329"
2,5,64,63,127,"-97.09"
2,6,0,0,0,"-DirectedInfinity-"
2,7,0,0,0,"-DirectedInfinity-"
2,8,0,0,0,"-DirectedInfinity-"
3,1,4,3,7,"-3.49637605401240083270686588553223054757628408142058206086983467419915601545070538905378656840409"
3,2,8,7,15,"-8.0719795138728529267030672983123714999643470136225330929281309422324803796080782454396115953"
3,3,16,15,31,"-17.2231402750198758383843445489100904409206145291250953847993934026903557857028154628"
3,4,32,31,63,"-35.525461796087376505357204540518388624442834288873385423856817214"
3,5,64,63,127,"-72.130104838222377838436914774"
3,6,0,0,0,"-DirectedInfinity-"
3,7,0,0,0,"-DirectedInfinity-"
3,8,0,0,0,"-DirectedInfinity-"
5,1,4,3,7,"-8.730376736254198730050009512504056937308201369779774979361363130903666277927811845546682877"
5,2,8,7,15,"-18.76178346833397724662886542855161361144171229510024288161871285465095326565897485"
5,3,16,15,31,"-38.824596932331935688486502238886147003143919141809071279396547"
5,4,32,31,63,"-78.95022386032785257219"
5,5,0,0,0,"-DirectedInfinity-"
5,6,0,0,0,"-DirectedInfinity-"
5,7,0,0,0,"-DirectedInfinity-"
5,8,0,0,0,"-DirectedInfinity-"
13,1,4,3,7,"-23.190192133906037136901369405650858790857454565215259340448367506990101989974"
13,2,8,7,15,"-48.09638761144687343343672197429306610826286761568273"
13,3,0,15,31,"-98."
13,4,0,0,0,"-DirectedInfinity-"
13,5,0,0,0,"-DirectedInfinity-"
13,6,0,0,0,"-DirectedInfinity-"
13,7,0,0,0,"-DirectedInfinity-"
13,8,0,0,0,"-DirectedInfinity-"
